Just another flavor of Kit Kat but the taste is unique and a bit different . The only thing that is bothersome is the price . I thought it was a bit expensive ... .	1
Really good . Great gift for any fan of green tea ! Just so expensive to purchase candy from across the sea .	1
I had never had it before , was curious to see what it was like . Smooth , great subtle good flavor . I am ordering more and plan to make it a routine .	1
I 've been looking forward to trying these after hearing about how popular they were in Japan , and among Kit Kat fans as well . I do not recommend ordering these during warm weather , because they can melt and become smushy . I ordered mine right when summer began , and they were a bit mushy so I let them solidify under room temp . Afterwards , I tried some and they tasted fine . I was expecting a stronger green tea or matcha flavor , but it is actually quite subtle . The outer coating was creamy and not overly sugary , which I liked . Overall , I would n't say it 's insanely good , but definitely a yummy treat .	1
These Kit-kats are very good , but if you 're looking for a strong green tea flavor- you will be disappointed . The green tea flavor is very subtle .	1
Creamy white chocolate infused with Matcha green tea surrounding layers of wafers . Much less sweeter than the traditional Kitkat . Small size is perfect to satisfy the chocolate craving w/o the guilt . Was in LA last week and picked up a bag on a whim at the Japanese store in Little Tokyo . Now , back in WI and regretting not picking up a handful more . Not only were these Kitkats delicious , the bags were only $ 5 each !	1
After hearing mixed opinions about these Kit Kats , I decided to try them . They are excellent , and I do not regret purchasing them at all . They taste like matcha with a bit of a vanilla and milky flavor as well . They are not too sweet or too plain . These are the best Kit Kats I 've ever had , and I would recommend them to anyone who likes matcha-flavored candies or anyone wanting to try an unusual kind of Kit Kat .	1
I ordered these in Summer so they of course arrived melted , a trip the freezer made them awesome again though . Just order them in cooler times of the year and you should get them in good condition.I love these so much more than the regular chocolate Kit-Kat bars . I hope some day to see them on store shelves in the US some day .	1
These are definitely THE BEST candy bar out there ! I just wish I was able to find them in a local store instead of having to buy them online !	1
Yes - this is one of the most expensive candies around , because it only comes imported . But my goodness - are these ever good . The KitKat folks could really clean up if they started selling these in the US . Once you try them you ca n't wait for more . So yummy and delivered quickly and fresh .	1
I love the green tea kitkat , taste so good , not as sweet as the milk chocolate one , and it comes with 12 small pack , easy to keep on a diet , i love this one and the dark chocolate one !	1
I tried this for the first time today and it is delicious but I do n't quite taste the Matcha flavor as you would in like say a Green Tea ice cream . To me it tasted like white chocolate with a grainy texture which I 'm guessing is the Matcha tea powder . I think my favorite KitKat flavor mix is the Mocha .	1
This curry paste makes a delicious curry . I just fried up some chicken and vegetables and added coconut milk to this for a delicious dish . Quite spicy , so if you 're looking for something mild , look elsewhere	1
I 've purchased different curries in the grocery store and was never completely happy with the flavor . I read a recipe that recommended this brand and after using it I can see why they recommend this specific brand . Great flavor - I purchased all 3 - Green , Red , and Yellow curry paste and have enjoyed all 3 types .	1
I love ethnic foods and to cook them . I recently purchased another product which was a major disappointment , so I was back to the drawing board.The reviews won me over , and free shipping , so I ordered one of each , red and green . Tonight I used the green for the first time and WOW ! It made me look like a gourmet international chef - it is so incredibly good ! It was definitely hot , though , which is fine with me but I was glad I had the coconut milk base . This is excellent and I will keep this on hand always .	1
I started a new diet restricting all added sugars . This was one of the only brands I could find that did n't have sugar added into the ingredients . And it tastes great to boot ! I 'm not sure I could finish this whole tub before it goes off though . How long does it last ?	1
So many flavors . I ca n't begin to tell you how much I love all of mae ploy curries . I should ask them for recipes . Basically its a plastic lidded container about the size of I wan na say two and one half yogurts . It has a bag inside that you pull out and inside that clear bag is the curry . Its all mashed in there . I cut a corner and take out a little at a time . Having the spices mixed and its a paste makes it nicer to make a sauce and marry this flavor to anything . Veggies love it that are steamed , scrambled eggs , rice pasta and even fish and meat .	1
I 've used this a lot recently in some of my chicken dishes . I do n't use a lot , I do like spicy foods and a little goes a long way . The plus is its in a bag and you can squeeze out what you need.. Yes I will buy more	1
This is a huge step up in quality from the kind that is normally available in the supermarkets near me . This makes green curry extremely easy . It also appears to have a pretty good shelf life which is good because there 's enough in here to make several large portions , so unless you eat green curry all the time it will last quite a while .	1
I have two things in mind when I make a Thai curry : 1 ) I want it to taste good and 2 ) I want whomever I 'm making it for to feel like it 's fairly authentic . Mae Ploy makes both of these tasks quite easy to accomplish . The very best curry is made from making one 's own paste , however finding the time and perhaps even more difficult , the ingredients to do so does not compensate for the difference in taste . In my experience , Mae Ploy is an excellent green curry paste that tastes plenty fresh and will give you that same satisfaction that you get from a Thai restaurant.A few things I 've learned using their curry pastes over the years:1 ) If you are cooking for people who are not used to Thai food , the proportions indicated in the directions on the container will be WAY TOO HOT for them . This is especially true with Green Curry and even more important if there will be children eating the meal . It 's very easy to adjust the amount of paste used , and with practice you 'll learn just how much is good for the experienced palate and how much is good for kids or newbies.2 ) The packaging does n't mention anything about how long the product keeps . The paste comes in a plastic container with a lid that can seal , but it 's actually in a thick plastic bag inside that container . I used to cut open the bag and leave it in the container , but I 've taken to just cutting a hole in the corner and using it like an icer would in a bakery . I feel like the double container might help it to keep a bit longer . Once the bag is opened , the product should be stored in the refrigerator . There is enough in the container to make several curry dishes.3 ) Mae Ploy paste is fantastic , but choosing a bad coconut milk can degrade the quality of your dish or even ruin it altogether . Do n't go with `` lite '' brands , and look for something more authentic if you can find it . I 've found Chaokoh brand comes with a higher amount of cream which gives your curry a more consistent flavor . Chaokoh is the brand most often found in Asian markets and I 've always figured that they would know best.This product is incredibly easy to use and turns out a Green Curry that will make your friends think yours is good as a restaurant 's . I do n't believe there is a better paste on the market and when you factor in the price it 's a no brainer . ( FYI , If you live in an area where there are asian markets , you will do better buying it there as it will be even cheaper ) .	1
I like to make my own curry but this is a tasty alternative . I use it as a base for all kinds of different curry recipes .	1
Because of Mae Ploy Thai Green Curry Paste , green thai curry has become my signature dish . I am always being asked to make it . Remember that it is very spicy so a little goes a long way . The flavors in this paste are complex and varied and make for a delicious curry . We are living overseas ( not in Thailand ) so I am happy to see that it is available on Amazon !	1
Had n't had green curry before so I bought this to give it a try . Turned out really good and I loved the heat level I got using 2 Tbs of paste . I ordered the red paste too but have n't gotten to try it yet , but if it 's as good at this paste it should be way better than what my grocery store carries .	1
Being newbie to THai cooking , these are great addition to my kitchen . Its tastes really good for vegetable and chicken curry .	1
I have tried all the curris from Mae Ploy ( excluding the Panag ) and various other curry pastes out there . Mae Play is a solid and affordable curry paste that keeps . The Red has more heat , but the green has more spice . The Yellow and Matsaman curry paste do n't really have any heat to me , but do taste good as well.For a holiday treat , substitute eggnog for coconut milk with the green curry . It is super delicious ( just be advised your GI tract WILL hate you later for doing so )	1
I have both the red and green curry paste . The green is milder . I use both of them in variety of dishes and often spice up soups and stews that need a little zing . It is so convient to have them in the frig .	1
These dyes create awesome colors for kids crafts . I have used them to make finger paint , paint , play dough , and salt dough.Another reviewer stated that they are not natural - this is CORRECT . They are definitely artificial dyes . I tried making my own dyes , and when that fell through , these worked great in a pinch . You only need a couple drops for really vibrant color . And they are pretty easy to clean - do n't stain after they 've been made into whatever craft.Good product for the price !	1
Used for making red and green caramel corn for Christmas . Was n't sure how the food coloring would work with the caramel , but these created great , vibrant colors . ( They did darken a little after baking the caramel corn , but were still fairly bright . ) Great product and will last me a long time .	1
This is a nice basic selection of gel food colorings which you can make all the basic colors you would need for a beginner . They mix well with frostings and do not make the frosting runny as with liquid colors .	1
This are so much easier to use than the Wilson paste colors . Colors are vibrant , and do not taint the frosting like some colors can . These are simple to use , and do not make a mess . My only complaint is that I did not find these years ago . This is a must have if you decorate often !	1
If you are looking for deep saturated colors , these are the ones for you . I had to use more than I expected while coloring white fondant but the colors were nice and bright and the farm cake turned out beautiful ! Caution , wear gloves as these will stain your hands .	1
